Downregulated	Upregulated	All_DEGs	All_genes
Q7T3H2	P84054	Q7T3H2	P10180
P08155	Q9D051	P84054	Q9VCW3
Q9HFV1		P08155	Q6P7G6
Q8C0D5		Q9HFV1	Q566Y1
P52170		Q9D051	Q9VEX0
P42282		Q8C0D5	Q761V0
Q96RW7		P52170	P18652
Q7ZVZ6		P42282	P18074
Q99MY8		Q96RW7	Q75WE7
		Q7ZVZ6	Q9ULU4
		Q99MY8	Q5R9Y3
			P48444
			Q86VP6
			O46036
			Q96J01
			Q9BY84
			Q24368
			Q24368
			Q5FW12
			P81623
			Q5F3X4
			Q8N3P4
			Q7KRI2
			Q561R2
			O75351
			A1ZA92
			Q9JI19
			O75373
			Q9D8P7
			Q7TSS2
			Q9JKU3
			Q6DDT1
			Q7ZXY0
			Q6DFF4
			Q80TN7
			Q08DE2
			Q7T3C7
			Q8N5J2
			P32198
			Q66PG2
			Q24207
			Q00PJ7
			Q9I7F7
			Q8CFI5
			Q9QYF3
			Q9Y4I1
			Q7T3H2
			A0A0B4K692
			P27401
			Q7SYD5
			Q5F3X8
			Q5DC69
			Q2KIW6
			P07764
			P05065
			P07764
			Q08420
			Q9US35
			Q8TBB1
			Q54CP1
			Q8BZB2
			P28024
			Q9BSJ2
			Q01842
			Q9D0B6
			Q9D287
			Q7ZWC4
			Q6PCS4
			Q9VNH6
			Q58EN8
			Q86UE3
			O94131
			Q4R5B9
			A0FKG7
			Q9PW70
			O75400
			P21328
			Q7LHG5
			Q6NT04
			Q5E9F8
			Q86B79
			Q9UIG0
			Q3T904
			Q28C65
			O14513
			O15943
			Q9Y5K3
			Q6PB70
			Q8IYD1
			P15170
			Q90965
			Q6UB98
			Q9VJ79
			Q9CR41
			Q8CGF7
			Q6P257
			Q9PU85
			Q96LU5
			Q18246
			P22123
			Q2YDF6
			P35220
			P17789
			P31007
			Q5R605
			O35345
			Q5JTJ3
			O15018
			P05165
			A2A4P0
			Q80UV9
			P51123
			P61619
			Q98SN8
			Q99323
			Q99323
			P35580
			Q7TT28
			Q3T7C9
			Q3T0Q6
			Q7T322
			Q5C9Z4
			Q96ER3
			Q32PI5
			P30153
			Q03168
			Q99570
			O15945
			O18497
			P02284
			O95393
			Q9QYM7
			P21328
			P27401
			Q95SX7
			P10394
			P11369
			Q99NB1
			Q674X7
			P14599
			Q0IIX9
			A9X4T1
			P51521
			P21328
			Q8I7P9
			Q9VVG4
			P15870
			P20825
			A1Z8N1
			Q08DB5
			P97441
			Q9VQU9
			Q8CHP6
			P46926
			Q5RAV9
			Q9XZC8
			Q62952
			Q9EQF5
			Q810T5
			Q4R4J0
			P10746
			Q96PE2
			Q96PE2
			Q8IWV8
			Q15555
			Q5XIT1
			Q5ZJK1
			P70168
			Q9NR19
			Q9NR19
			Q865S1
			Q8MKK4
			Q9W0T5
			Q68EI0
			Q3HNM7
			P80363
			P12270
			O35132
			Q9CYF5
			Q1L8J7
			Q9NQT8
			Q9EQW7
			Q20191
			A6QNS3
			P25007
			P34925
			P41894
			Q5ZIA5
			Q08D64
			Q9Y5P8
			O89050
			O89050
			P49880
			Q5SSZ5
			Q9NBX4
			Q95SX7
			P21328
			Q9H633
			Q95SX7
			Q1LXC9
			Q9NBX4
			Q6MG49
			P91950
			O15975
			Q9VP76
			Q960E8
			Q8NDF8
			Q86TM6
			P56252
			Q9BJZ5
			Q9W2H1
			Q99P77
			Q93112
			Q93113
			Q8BX70
			Q01484
			O70511
			G5E8K5
			Q179T2
			Q9UPQ8
			Q86U86
			Q90941
			Q9Y3B9
			Q9WTN6
			Q8BIG4
			Q8MQW8
			P18489
			Q7Z6K3
			Q7T105
			O00255
			Q9DBT5
			Q9P2J8
			P13709
			O75431
			Q9NRC6
			Q0V9J0
			Q2KJC9
			Q8K339
			Q96N67
			Q9Z2V5
			Q6NS46
			Q5R940
			Q94572
			Q94572
			Q9CYU6
			P63155
			P17886
			P63155
			Q9P2J8
			Q96SE7
			P17035
			Q9XSR1
			Q16649
			Q9GLX9
			Q53H96
			Q6ZWR6
			Q8WWI1
			B7SBD2
			O08679
			A6QQM4
			P29691
			P13060
			P0CT37
			Q2VUH7
			Q9FPR3
			P49906
			Q96IG2
			O61492
			Q91VS8
			O94887
			Q25008
			Q9H251
			Q24325
			Q90687
			Q68HB4
			P29508
			Q91XV4
			Q9NBX4
			Q68EH9
			Q9VTE0
			Q9Z2A5
			Q9Z2A5
			P47809
			Q7ZZ25
			Q52KI8
			Q5ZMJ9
			P21328
			Q10567
			P97390
			Q8NET6
			Q8BHN3
			O01159
			P35600
			P35251
			O15943
			O15943
			P56399
			Q29611
			Q17Q06
			Q0VCU1
			Q9Y263
			Q8CHT3
			Q9U639
			Q9WUM7
			Q658P3
			Q6GQN5
			Q15428
			Q29503
			Q29503
			Q24572
			Q7ZTY4
			Q6NTN5
			Q9NWM3
			Q28XY0
			F1M3J4
			F1M3J4
			P55853
			Q21279
			Q64602
			Q8NB14
			Q05927
			Q17RB8
			Q9VX32
			Q9VX32
			P48994
			Q7TNK0
			P55162
			P05661
			P05661
			Q9I8S4
			P05661
			Q5RG82
			Q6DFU2
			Q24537
			P84054
			P07207
			Q5R685
			Q7ZWE3
			Q60HE1
			Q8TEU7
			Q95SX7
			E9Q1P8
			Q6NZT6
			Q17902
			P59764
			Q5XUN4
			P29375
			Q9UDY4
			Q8CFK2
			Q5NVD0
			Q5ZIK9
			Q9UJ83
			Q9VZI3
			Q9VZI3
			Q5R971
			P16376
			Q3T0E1
			P0C5E4
			O19105
			Q3T0E1
			O76484
			A6NJL1
			P87362
			P82119
			Q2KI56
			Q15111
			Q5R801
			E2RP94
			A0A1D5PUP4
			Q32NW2
			Q9W3M3
			P59470
			Q5T4S7
			Q9GV46
			Q6SKR2
			Q5E9T8
			P17017
			Q5T619
			P24788
			Q8BYR2
			Q5M954
			Q8WTY4
			O70472
			Q70E73
			Q11002
			Q5NVP9
			A4URH3
			A4URH3
			Q9VSH9
			Q63185
			P57080
			P49321
			O02485
			Q149N8
			Q7TPQ3
			P27401
			Q13148
			Q3KPV4
			Q3V1V3
			O97524
			O18835
			Q7LHG5
			P20825
			Q6NRG5
			Q9Z1Z3
			B1AS42
			Q12789
			Q6NRW5
			P04069
			Q7Z340
			Q9VRJ2
			Q24246
			Q2YGT9
			Q502L2
			Q9UFB7
			Q9WU22
			O44388
			Q501Q9
			Q9Z254
			O55047
			Q2HJG5
			Q78JE5
			O95336
			P63016
			D0VWU3
			F1R345
			P49792
			O73689
			A0JC51
			Q9U639
			O42406
			Q8WYN3
			Q9VKM6
			Q12996
			O08623
			P70266
			P08659
			Q62784
			Q9Y105
			Q9NPF5
			Q3TXS7
			Q8CJ40
			Q8C079
			Q8T9B6
			Q7KVH9
			Q9NXE4
			Q08180
			A0A0R4IES7
			A2AAE1
			Q95SX7
			P22124
			Q16959
			Q24270
			Q4R628
			Q2LD37
			Q70CQ4
			Q70EL4
			P53804
			Q8CHG3
			P48597
			O60307
			Q60592
			Q8CI71
			Q9VB68
			Q9U8W8
			Q9H270
			Q9VEC1
			P61256
			Q5VVW2
			Q80VY9
			B4NWI1
			P49760
			Q68FN9
			Q80YD6
			Q4R9F7
			Q9VF27
			Q8BGQ7
			Q96PH1
			Q9D826
			Q9VEZ3
			Q9VEZ3
			E9PVA8
			E9PVA8
			Q9VV87
			Q5ZM98
			Q498S6
			Q7ZX96
			Q9VQ36
			Q8SX68
			Q00PJ1
			P29341
			Q94BV5
			Q869C3
			P08059
			P52029
			P18502
			Q8C7H1
			O00330
			Q99M51
			P29742
			Q68FD5
			Q95SX7
			Q7TNE1
			Q00174
			Q00174
			Q9UK10
			O49923
			O95487
			Q4V8I4
			Q9GRW0
			Q9GRW0
			Q9GRW0
			P30622
			Q9Y113
			Q95N27
			Q3T106
			Q7L8L6
			Q9Z330
			Q9VGI8
			Q68ER9
			P29993
			P27950
			A5PJZ2
			O17449
			Q8BK63
			Q8BY87
			Q9HCM2
			B0S5N4
			Q9V4A7
			Q9JJX7
			Q9VRP9
			Q9VRP9
			Q6BD04
			Q6PF21
			Q91W96
			Q6NUT3
			A4II29
			Q6QMZ7
			Q28BT8
			A7YY55
			Q03001
			Q8BQM9
			Q9NSN8
			Q6R6I6
			Q4ZHW1
			Q9N2M8
			P19889
			P05388
			P30039
			Q2HJF4
			Q8IN94
			Q8IN94
			Q3ZPT5
			Q9D071
			Q27421
			Q7PKQ5
			P18091
			Q7PKQ5
			Q96DM1
			P21328
			P20825
			Q6NV83
			Q9UNW9
			Q94920
			P82013
			P48147
			Q00438
			P51513
			Q8IUH3
			Q964T2
			Q23983
			Q6EE31
			Q6EE31
			Q99315
			Q5ZM14
			Q9U620
			Q9VY99
			P53034
			Q95SX7
			Q9SL56
			A0ZSK4
			Q9VL32
			P09623
			P41252
			P77832
			M9NDE3
			Q5R5R2
			P83038
			Q26457
			Q8VE65
			A1ZBT5
			Q6IV84
			Q14155
			Q9XYN1
			Q6REY9
			Q9P2F6
			Q9EST3
			P49024
			Q99KI0
			P34455
			Q9NX74
			Q9VU68
			Q0P4H6
			Q924S5
			Q8IWZ8
			Q13608
			Q6GN42
			Q07890
			Q5ZJW6
			Q6DGL2
			Q99315
			Q8BP74
			Q3MHE4
			P54793
			P21328
			Q9XYF4
			Q68FJ8
			Q5XGA9
			Q9N294
			O60318
			Q25008
			Q6R5N8
			Q9VYG2
			Q16181
			Q3SWX0
			Q6DFJ6
			O61307
			O61307
			Q3SZE9
			Q9NW07
			Q9W0K7
			P12024
			Q00341
			P81021
			Q9N0E7
			Q9NV58
			O94966
			D3Z902
			Q6GN16
			Q49GP3
			Q92614
			D3ZFD0
			Q9V477
			A2RSQ0
			Q6IQ26
			P21328
			P20825
			P10394
			F4KGU4
			Q9JJA7
			O97067
			Q9IB84
			O76483
			Q96RV3
			Q8VDG6
			Q8BGQ4
			Q5WAG4
			Q9VK89
			Q9NBX4
			Q7ZWU1
			Q9W0E3
			Q9W0E3
			Q62384
			A9CB27
			P08155
			Q2HJG2
			P25286
			Q13488
			P49793
			P49793
			Q5SXM2
			Q01989
			Q62849
			Q17BB0
			A1L272
			Q8TB40
			P27966
			Q26454
			Q811G0
			Q811G0
			Q92005
			Q92005
			Q5NCP0
			Q9Y6V0
			Q8WYQ5
			Q26228
			P23475
			Q6DEL2
			Q9V3H8
			A2BGA0
			Q14566
			Q5BKQ4
