Genes	CH01-06	CH01-14	CH01-22	CH01-38	CH03-04	CH03-15	CH03-33	CH05-01	CH05-06	CH05-07	CH05-09	CH05-14	CH05-21	CH05-29	CH07-04	CH07-06	CH07-08	CH07-11	CH07-24	CH09-02	CH09-13	CH09-28	CH10-08	CH10-11
M_mag.00g000010-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	4	0
M_mag.00g000020-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M_mag.00g000030-v1.0.a1	1	7	0	0	3	0	1	2	2	0	0	1	0	0	1	0	4	0	1	0	0	0	2	0
M_mag.00g000040-v1.0.a1	4	19	4	6	2	1	3	0	0	3	1	7	2	2	0	1	5	6	10	1	0	0	7	7
M_mag.00g000050-v1.0.a1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000060-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0
M_mag.00g000070-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000080-v1.0.a1	0	4	0	0	0	0	0	0	0	4	0	3	0	0	1	1	0	0	0	0	0	0	1	0
M_mag.00g000090-v1.0.a1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
M_mag.00g000100-v1.0.a1	5	59	30	14	12	15	2	45	8	35	34	36	7	71	50	12	10	45	19	20	16	14	20	17
M_mag.00g000110-v1.0.a1	0	0	0	1	1	0	0	1	2	5	2	2	0	4	19	0	0	0	0	8	0	0	7	7
M_mag.00g000120-v1.0.a1	6	42	35	31	7	3	8	58	15	77	40	54	9	79	75	7	4	88	8	48	24	16	37	36
M_mag.00g000130-v1.0.a1	4	0	2	3	0	0	0	6	0	1	2	8	0	3	6	0	0	0	0	0	1	0	0	3
M_mag.00g000140-v1.0.a1	3	7	5	11	0	1	15	2	1	10	21	7	3	1	16	18	3	40	13	9	6	5	2	6
M_mag.00g000150-v1.0.a1	1	0	1	3	3	0	0	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	0	0
M_mag.00g000160-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000170-v1.0.a1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	0	0	0	6	1	0
M_mag.00g000180-v1.0.a1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M_mag.00g000190-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	2	0	3	4	0	0	0	0	0	0	0	0	0
M_mag.00g000200-v1.0.a1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000210-v1.0.a1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000220-v1.0.a1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000230-v1.0.a1	0	0	0	0	0	0	0	1	3	2	2	0	0	0	0	0	0	2	1	4	1	0	0	0
M_mag.00g000240-v1.0.a1	16	34	65	35	4	28	19	34	7	21	27	34	9	25	12	28	43	37	38	25	1	15	9	19
M_mag.00g000250-v1.0.a1	2	7	5	5	0	0	2	5	5	11	2	0	0	13	8	0	0	11	3	7	1	8	5	3
M_mag.00g000260-v1.0.a1	10	35	23	15	3	2	2	7	14	22	19	8	5	13	35	0	5	25	15	3	11	9	21	20
M_mag.00g000270-v1.0.a1	16	16	36	16	26	22	12	18	14	81	20	43	8	50	47	10	20	43	10	19	21	8	23	54
M_mag.00g000280-v1.0.a1	22	58	21	96	20	11	23	15	37	17	32	24	17	27	23	57	52	40	75	21	1	18	39	18
M_mag.00g000290-v1.0.a1	6	11	2	4	2	2	11	11	9	8	10	8	15	5	8	10	1	10	6	1	3	3	6	1
M_mag.00g000300-v1.0.a1	0	12	9	1	5	7	11	4	4	9	4	20	4	4	1	6	0	2	1	0	0	0	2	13
M_mag.00g000310-v1.0.a1	12	21	12	19	8	23	4	8	7	3	12	17	23	10	10	11	38	15	13	9	2	0	16	13
M_mag.00g000320-v1.0.a1	7	23	7	12	17	5	3	10	3	7	6	5	9	8	8	6	12	14	6	11	2	6	7	10
M_mag.00g000330-v1.0.a1	63	157	149	92	83	120	123	72	35	89	172	82	110	55	25	359	281	456	199	80	32	354	86	41
M_mag.00g000340-v1.0.a1	373	763	1093	812	530	807	1282	611	362	398	1417	637	678	452	111	4696	2144	3875	2022	971	510	3929	773	500
M_mag.00g000350-v1.0.a1	12	20	12	35	23	19	13	6	9	6	19	21	20	11	10	14	37	24	16	4	2	2	22	8
M_mag.00g000360-v1.0.a1	38	97	43	109	43	30	53	37	27	32	68	76	50	44	47	42	167	35	94	6	8	29	43	48
M_mag.00g000370-v1.0.a1	8	35	23	23	15	16	1	23	2	44	30	23	7	34	78	1	24	2	5	28	13	18	16	17
M_mag.00g000380-v1.0.a1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
M_mag.00g000390-v1.0.a1	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	0	2	0	0	0
M_mag.00g000400-v1.0.a1	2	3	0	3	0	2	6	12	0	0	6	6	5	3	14	4	1	0	5	1	0	1	0	7
M_mag.00g000410-v1.0.a1	3	5	2	3	6	10	19	8	1	6	8	8	17	20	9	44	15	28	16	0	11	3	4	4
M_mag.00g000420-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M_mag.00g000430-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000440-v1.0.a1	51	121	31	132	57	46	33	36	36	35	35	86	47	18	37	42	199	23	54	18	7	30	52	63
M_mag.00g000450-v1.0.a1	0	9	0	0	0	0	6	0	5	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0
M_mag.00g000460-v1.0.a1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0
M_mag.00g000470-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000480-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000490-v1.0.a1	0	1	0	0	0	0	0	1	0	0	0	2	0	3	3	4	0	2	4	2	0	1	0	1
M_mag.00g000500-v1.0.a1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g000510-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0
M_mag.00g000520-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g000530-v1.0.a1	92	48	51	63	70	36	19	47	62	106	60	31	57	51	60	85	50	133	30	37	48	52	45	86
M_mag.00g000540-v1.0.a1	0	1	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
