Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
CH01_06_S1_R1	306189.0	4840894.0	14871077.0	1.3	7.0	73.4	114305927.0	24158341.0	64737015.0	5392411.0
CH01_14_S2_R1	259581.0	6711773.0	8238329.0	1.7	12.8	67.7	80070969.0	15323267.0	45602679.0	3935340.0
CH01_22_S3_R1	307985.0	6636687.0	13365106.0	1.2	8.2	66.2	127381360.0	26017914.0	74225428.0	6828240.0
CH01_38_S4_R1	282662.0	6644900.0	8760664.0	1.6	12.2	68.1	84844218.0	17018098.0	48039146.0	4098748.0
CH03_04_S5_R1	249926.0	16827828.0	946436.0	2.5	35.4	11.4	65946244.0	9833687.0	30765883.0	7322484.0
CH03_15_S6_R1	213343.0	9980952.0	2162427.0	1.5	18.4	19.4	79297119.0	13751809.0	44206045.0	8982543.0
CH03_33_S7_R1	301754.0	4156688.0	15372085.0	1.1	5.6	72.5	121249866.0	25944974.0	69642248.0	5832117.0
CH05_01_S8_R1	332775.0	16520408.0	5872389.0	2.1	26.6	51.8	89602336.0	15868482.0	45545889.0	5462393.0
CH05_06_S9_R1	135383.0	6576226.0	524787.0	1.4	16.0	7.0	58206795.0	9525556.0	34483408.0	6961435.0
CH05_21_S10_R1	290194.0	8653947.0	10296837.0	1.3	12.5	64.1	108026692.0	22373013.0	60647800.0	5764901.0
CH05_24_S11_R1	458143.0	11790012.0	16105111.0	1.6	13.9	71.6	135976164.0	28358496.0	72873042.0	6391360.0
CH07_06_S12_R1	333432.0	6818153.0	12785738.0	1.3	9.0	64.1	120301419.0	24574645.0	68636651.0	7152800.0
CH07_11_S13_R1	207284.0	6591788.0	774527.0	1.6	12.7	7.8	75253336.0	13019776.0	45506772.0	9153189.0
CH07_24_S14_R1	195119.0	7797257.0	658848.0	1.6	13.7	7.0	78634198.0	12137636.0	49089138.0	8756200.0
CH09_02_S15_R1	293937.0	8439038.0	8595749.0	1.8	15.6	68.4	82789008.0	15935298.0	45555332.0	3969654.0
CH09_13_S16_R1	157675.0	7757947.0	2540890.0	1.9	19.7	45.8	53167041.0	8083693.0	31617735.0	3009101.0
CH09_28_S17_R1	385364.0	5074032.0	11000507.0	1.7	7.8	67.6	103856355.0	21855021.0	60269183.0	5272248.0
CH10_01_S18_R1	288913.0	4485782.0	10515951.0	1.4	7.7	70.8	93264342.0	19795027.0	53845666.0	4333003.0
CH10_08_S19_R1	237024.0	13687056.0	2840527.0	1.8	26.8	31.2	73223691.0	12760294.0	37434913.0	6263877.0
CH10_11_S20_R1	290223.0	7621435.0	9387012.0	1.5	12.3	67.7	95088639.0	18819723.0	54483110.0	4487136.0
