Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
CH01_06_S1_R1	73.4	1.3	7.0	114305927.0	35.11	5968972.0	9198318.0	47.85108806740829
CH01_14_S2_R1	67.7	1.7	12.8	80070969.0	40.73	4880587.0	8234715.0	44.63912692278107
CH01_22_S3_R1	66.2	1.2	8.2	127381360.0	37.96	6655768.0	10728766.0	48.42501088785351
CH01_38_S4_R1	68.1	1.6	12.2	84844218.0	32.06	5114464.0	7527411.0	44.72052977299644
CH03_04_S5_R1	11.4	2.5	35.4	65946244.0	26.37	4211298.0	5719739.0	31.92914777439219
CH03_15_S6_R1	19.4	1.5	18.4	79297119.0	38.85	4426741.0	7239179.0	31.22257040582386
CH03_33_S7_R1	72.5	1.1	5.6	121249866.0	35.95	5846675.0	9128105.0	48.08587950790716
CH05_01_S8_R1	51.8	2.1	26.6	89602336.0	27.94	5620226.0	7799043.0	39.19037916922482
CH05_06_S9_R1	7.0	1.4	16.0	58206795.0	47.1	2832576.0	5354295.0	30.217168998012344
CH05_21_S10_R1	64.1	1.3	12.5	108026692.0	35.95	5876228.0	9173874.0	48.563395211310315
CH05_24_S11_R1	71.6	1.6	13.9	135976164.0	34.65	8121580.0	12427683.0	48.1379888103048
CH07_06_S12_R1	64.1	1.3	9.0	120301419.0	34.69	6288529.0	9628223.0	46.97279816937176
CH07_11_S13_R1	7.8	1.6	12.7	75253336.0	42.58	3937856.0	6858201.0	31.449377615889716
CH07_24_S14_R1	7.0	1.6	13.7	78634198.0	48.04	4350451.0	8373461.0	34.89972352254822
CH09_02_S15_R1	68.4	1.8	15.6	82789008.0	31.74	5169554.0	7573615.0	43.444694656438195
CH09_13_S16_R1	45.8	1.9	19.7	53167041.0	75.69	2637721.0	10851238.0	49.51279718719091
CH09_28_S17_R1	67.6	1.7	7.8	103856355.0	34.14	5574134.0	8463159.0	48.055481660134376
CH10_01_S18_R1	70.8	1.4	7.7	93264342.0	29.14	5255031.0	7416281.0	49.886511813123704
CH10_08_S19_R1	31.2	1.8	26.8	73223691.0	26.65	4439522.0	6052884.0	38.06598692034415
CH10_11_S20_R1	67.7	1.5	12.3	95088639.0	31.66	5848975.0	8558834.0	46.68163700551698
