Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0015914~phospholipid transport	3	3.9473684210526314	0.01988807396508164	Q2LD37, F1Q4S1, Q9H221	70	5	1467	12.574285714285715	0.9999813183528307	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0511~Multifunctional enzyme	5	6.578947368421052	0.029583368725683568	Q13085, P11029, P11369, P23475, Q9UR07	47	28	1060	4.027355623100304	0.6899933512017278	1.0	1.0
GOTERM_CC_DIRECT	GO:0005829~cytosol	26	34.21052631578947	0.030712362796086586	Q13136, Q86BA1, P55201, Q4V8C3, E9QI36, Q8N6M6, Q9W3M3, Q8VIJ5, Q9C0C7, Q9W4E2, Q13085, P48444, Q5ZL33, Q9NRC6, P51111, P54369, P29144, Q8MQJ9, Q9Z2G0, Q5SV85, Q03164, Q5REW9, Q9NV58, Q80VJ4, Q6R327, Q8C4Y3	71	387	1531	1.4487025512246607	0.9909976953290127	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	34	44.73684210526316	0.032616996529605854	Q13136, Q63679, Q86BA1, P55201, Q641G3, Q4V8C3, E9QI36, Q8N6M6, P11029, Q6AY56, Q9W3M3, Q569L8, Q8VIJ5, Q9C0C7, Q8BYR2, Q811G0, Q9P2H3, Q9W4E2, Q13085, P48444, Q5ZL33, Q9NRC6, P51111, P29144, Q9Y573, Q8MQJ9, Q9Z2G0, Q5SV85, D3ZVM4, Q5TH69, Q9NV58, Q80VJ4, Q7PHR1, Q6PBD6	64	562	1392	1.3158362989323842	0.48480806618012484	0.6523399305921171	0.6523399305921171
GOTERM_BP_DIRECT	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER	3	3.9473684210526314	0.050813454742282924	P51111, F1Q4S1, P48444	70	8	1467	7.858928571428571	0.9999999999994696	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	10	13.157894736842104	0.057859840020275256	P51111, Q8VIJ5, P29144, O75643, E9QI36, O11780, Q13085, Q9NRC6, Q03164, Q569L8	63	115	1416	1.9544513457556933	0.9999602224695519	1.0	1.0
GOTERM_MF_DIRECT	GO:0016874~ligase activity	3	3.9473684210526314	0.06769183167839017	E9QI36, Q13085, Q9W3M3	63	10	1416	6.742857142857143	0.9999933148189287	1.0	1.0
GOTERM_BP_DIRECT	GO:0016043~cellular component organization	3	3.9473684210526314	0.07687103813332254	O75643, Q9VW71, Q94887	70	10	1467	6.287142857142857	1.0	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0968~Cytoplasmic vesicle	7	9.210526315789473	0.07748241438082007	P51111, Q5REW9, Q5TH69, Q9C0C7, P48444, Q7Z7G8, Q5SV85	64	67	1392	2.2723880597014925	0.8007065276025154	0.7748241438082006	0.7748241438082006
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	3	3.9473684210526314	0.07992761468496677	P04323, Q5VTE6, P11369	76	10	1560	6.157894736842105	0.9999999846696818	1.0	1.0
UP_SEQ_FEATURE	REPEAT:WD	6	7.894736842105263	0.08042832374204925	Q9Y4E6, Q9C0C7, Q9P2H3, Q9W4E2, Q4V8C3, Q6PBD6	75	49	1549	2.528979591836735	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	8	10.526315789473683	0.08058461838722475	D3ZVM4, Q28CQ7, Q9NV58, Q8N6M6, P11369, Q8MQJ9, Q9W3M3, Q03164	63	87	1416	2.066776135741653	0.9999993733860327	1.0	1.0
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	4	5.263157894736842	0.08086057328557945	D3ZVM4, Q9NV58, Q9C0C7, P29144	70	22	1467	3.81038961038961	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0030371~translation repressor activity	2	2.631578947368421	0.08568305683654315	D3ZVM4, Q8MQJ9	63	2	1416	22.476190476190474	0.999999756527164	1.0	1.0
SMART	SM00320:WD40	7	9.210526315789473	0.08807823865884382	Q9Y4E6, Q9C0C7, Q9P2H3, Q9W4E2, Q4V8C3, Q5ZL33, Q6PBD6	48	65	968	2.171794871794872	0.9977238533213739	1.0	1.0
UP_SEQ_FEATURE	REPEAT:WD 3	7	9.210526315789473	0.09054897280154056	Q9Y4E6, Q9C0C7, Q9P2H3, Q9W4E2, Q4V8C3, Q5ZL33, Q6PBD6	75	66	1549	2.1905050505050507	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010468~regulation of gene expression	5	6.578947368421052	0.09201690219117008	P51111, Q63679, P60882, Q6R327, Q9V6L0	70	37	1467	2.832046332046332	1.0	1.0	1.0
INTERPRO	IPR001680:WD40 repeat	7	9.210526315789473	0.0927722844008046	Q9Y4E6, Q9C0C7, Q9P2H3, Q9W4E2, Q4V8C3, Q5ZL33, Q6PBD6	76	66	1560	2.177033492822966	0.9999999992642626	1.0	1.0
UP_SEQ_FEATURE	REPEAT:NHL	2	2.631578947368421	0.09329266360042895	D3ZVM4, Q8MQJ9	75	2	1549	20.653333333333336	1.0	1.0	1.0
UP_SEQ_FEATURE	REPEAT:NHL 5	2	2.631578947368421	0.09329266360042895	D3ZVM4, Q8MQJ9	75	2	1549	20.653333333333336	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:FHF complex subunit HOOK-interacting protein C-terminal	2	2.631578947368421	0.09329266360042895	B5DI68	75	2	1549	20.653333333333336	1.0	1.0	1.0
INTERPRO	IPR001258:NHL repeat	2	2.631578947368421	0.0938718113189711	D3ZVM4, Q8MQJ9	76	2	1560	20.52631578947368	0.9999999994338097	1.0	1.0
INTERPRO	IPR013017:NHL repeat, subgroup	2	2.631578947368421	0.0938718113189711	D3ZVM4, Q8MQJ9	76	2	1560	20.52631578947368	0.9999999994338097	1.0	1.0
INTERPRO	IPR019384:Retinoic acid induced 16-like protein	2	2.631578947368421	0.0938718113189711	B5DI68	76	2	1560	20.52631578947368	0.9999999994338097	1.0	1.0
UP_KW_DOMAIN	KW-0853~WD repeat	7	9.210526315789473	0.09529408894144885	Q9Y4E6, Q9C0C7, Q9P2H3, Q9W4E2, Q4V8C3, Q5ZL33, Q6PBD6	50	69	1051	2.132463768115942	0.7985724613588889	0.8192448271249202	0.8192448271249202
