UniqueCount	AmbigCount
0	0
12	0
0	8
30	0
0	8
0	3
1	10
0	0
0	11
0	0
1	7
6	1
0	3
0	0
2	19
16	3
0	19
0	19
0	8
0	2
1	4
0	12
3	5
0	9
0	16
0	11
0	12
2	0
7	0
0	1
0	5
0	5
0	0
0	0
0	0
9	0
0	4
1	4
0	2
0	0
0	0
0	4
0	1
5	1
0	0
1	0
0	0
0	24
0	0
5	11
4	17
0	24
5	5
1	3
0	5
3	0
0	7
0	5
0	7
0	0
0	0
0	1
8	16
0	7
1	2
0	16
0	7
0	8
0	1
6	21
4	21
0	0
0	0
0	18
0	16
0	5
0	0
4	0
4	2
3	3
0	5
0	0
6	5
0	0
38	4
3	0
0	0
6	0
2	0
1	4
0	0
14	40
3	40
0	40
5	2
0	2
0	0
1	4
0	11
10	11
0	7
1	8
1	7
3	8
1	0
1	6
0	6
0	0
0	0
0	18
0	2
15	2
5	0
0	18
9	199
0	199
11	0
0	0
2	0
0	0
0	0
0	0
0	0
5	1
1	5
5	10
0	10
0	0
1	15
0	15
0	2
2	3
1	3
0	1
0	6
1	18
0	9
0	9
0	28
8	0
0	6
0	35
0	20
0	34
0	9
0	25
0	27
5	5
0	33
1	0
19	0
0	1
0	13
3	14
0	4
0	1
0	1
2	0
0	0
0	0
0	2
1	0
0	2
0	1
1	1
0	2
1	0
0	2
0	0
0	0
0	0
0	0
4	0
5	0
0	16
0	0
4	22
1	4
0	4
4	7
0	5
0	0
24	11
6	0
0	0
0	0
0	0
0	0
6	0
15	30
2	0
0	0
34	30
0	3
0	3
0	16
14	5
0	2
0	16
0	3
0	17
0	16
0	5
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
2	1
0	0
0	0
2	7
0	12
2	9
0	12
0	0
7	0
13	0
5	1
11	0
0	6
0	6
0	0
0	0
0	0
0	0
1	7
0	3
0	3
0	0
0	9
0	1
3	3
3	0
0	3
1	8
0	10
0	2
0	2
