UniqueCount	AmbigCount
5	2
20	2
12	18
27	0
0	18
0	0
0	8
2	3
0	19
0	3
2	14
1	0
7	0
8	1
4	47
11	2
0	47
0	52
2	21
0	5
0	0
0	47
0	13
0	21
4	22
0	10
0	34
2	1
2	0
2	0
21	4
0	4
3	0
1	0
0	1
22	15
0	51
0	51
0	33
0	10
0	0
0	51
0	1
5	1
0	0
5	1
1	0
3	61
10	0
11	16
11	28
0	64
7	10
1	9
0	19
3	0
0	13
0	6
0	16
0	0
3	1
18	67
1	41
0	55
8	0
0	42
0	22
0	28
0	39
89	25
9	25
2	1
2	0
0	25
1	25
13	10
16	0
0	0
4	5
14	5
0	8
0	0
2	8
0	0
51	10
1	0
0	0
6	0
8	0
32	10
9	0
64	165
8	165
0	165
63	54
2	54
0	20
3	8
1	46
19	41
0	28
0	34
0	28
6	34
14	27
10	44
0	44
0	0
2	0
0	63
1	12
22	30
4	1
0	70
25	516
4	516
30	2
0	1
1	1
0	0
0	0
6	1
5	0
1	0
8	5
29	117
0	117
0	0
0	50
0	50
0	5
7	37
7	37
0	11
0	8
0	59
0	44
3	32
0	81
11	14
0	9
0	85
1	71
0	113
0	43
0	65
0	109
4	16
0	69
3	0
0	0
0	6
0	0
2	6
2	0
0	0
1	0
18	0
0	6
0	6
1	0
0	0
0	0
0	6
16	6
0	6
0	0
0	6
0	6
3	19
3	19
16	1
21	0
30	0
22	106
0	66
14	123
0	23
4	36
5	23
0	42
0	2
72	130
0	0
0	0
0	0
7	47
52	62
981	76
34	38
9	0
1	0
43	38
7	41
32	41
0	15
3	5
0	11
0	16
0	10
0	15
0	15
0	11
0	0
52	1
0	0
0	0
0	0
0	0
1	8
0	7
0	6
0	36
0	54
3	4
0	39
0	36
3	66
61	70
1	6
0	25
4	17
0	23
6	0
17	0
3	0
15	0
2	0
4	12
0	12
1	2
0	0
0	2
0	0
43	25
0	29
1	215
0	4
0	203
0	27
2	191
0	1
0	197
4	7
0	204
0	5
0	5
0	8
4	7
0	0
0	1
10	5
49	0
0	0
3	3
0	0
0	17
2	0
0	17
4	1
9	15
0	13
14	35
23	12
2	19
0	1
0	0
0	53
2	53
0	46
0	47
5	32
12	32
3	0
1	0
0	0
7	0
0	2
0	27
2	27
3	1
58	0
6	2
0	48
0	41
0	41
0	10
1	0
8	53
0	46
17	0
4	17
0	37
0	46
0	45
6	0
0	6
0	6
11	3
8	1
0	14
35	54
0	57
0	11
0	12
0	13
0	14
0	11
0	11
22	12
76	12
34	73
0	233
27	27
3	102
23	157
0	230
60	110
0	7
5	3
6	36
11	3
26	91
0	33
8	139
5	7
0	2
99	95
24	92
3	56
2	0
4	0
0	0
0	0
15	0
0	0
0	0
0	0
0	0
0	0
1	0
7	0
0	0
9	0
0	0
5	0
9	0
2	0
0	0
0	0
0	4
1	0
1	0
2	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1057
41	983
0	6
30	424
7	543
0	10
0	5
0	10
0	11
0	6
1	11
4	0
0	11
11	62
0	34
3	55
0	0
0	11
0	4
6	124
0	2
0	25
2	286
0	300
1	273
2	0
1421	525
0	525
3	19
20	19
9	0
0	32
0	9
0	32
1	8
0	7
1	12
2	0
12	17
0	13
0	8
0	13
0	0
10	72
0	83
1	83
2	3
16	0
0	0
16	5
1	0
1	36
0	92
0	48
0	93
6	49
0	44
110	36
0	36
1	75
2	155
0	155
0	1
6	1
11	116
63	116
85	3
0	2
1	2
0	7
0	13
0	16
0	0
0	4
0	291
0	227
0	286
0	205
0	177
0	65
4	153
8	3
6	78
0	180
0	1
0	197
0	1
276	134
14	134
40	0
7	6
8	14
0	26
0	21
0	0
24	136
2	135
0	17
41	0
8	54
3	36
0	481
0	387
0	477
0	214
0	467
0	401
0	405
0	6
6	6
0	463
4	242
0	242
18	1
0	718
0	699
0	505
0	713
0	717
0	695
0	247
0	83
3	0
0	95
0	120
0	39
0	17
0	56
0	18
3	54
0	21
1	0
4	0
0	8
0	1
0	0
0	8
0	0
0	0
2	19
0	18
0	22
0	7
5	8
0	0
4	18
9	7
0	0
0	0
0	8
0	8
16	0
1	0
0	60
0	33
0	18
0	48
0	13
0	87
2	8
0	102
0	1
13	0
23	12
0	19
0	28
0	11
0	28
0	22
0	7
0	0
0	11
0	10
0	14
5	0
0	46
0	47
0	65
2	93
3	18
1	8
3	8
1	0
11	0
0	1
3	0
0	1
0	0
0	1
265	37
8	37
10	4
0	0
5	0
2	0
0	0
3	15
3	15
3	2
6	0
0	193
36	135
0	133
1	191
0	35
2	37
0	176
0	124
0	133
0	200
0	150
34	69
1	9
0	2575
10	92
5	2593
33	519
13	264
68	1568
54	1568
0	157
20	146
0	22
0	1304
135	2702
32	0
3	0
0	29
1	19
15	0
0	62
0	39
7	206
22	196
0	209
3	129
0	73
3	9
3	206
2	11
0	25
3	25
6	20
0	3
5	37
203	27
8	0
22	0
398	4
85	49
2	45
32	0
1	0
3	1267
0	68
2	33
0	227
2	35
0	1197
0	1193
3	1029
0	0
0	0
0	2
0	0
3	3
2	6
1	3
4	0
0	21
0	21
3	36
0	32
0	20
0	4
7	32
0	4
4	0
1	8
0	8
0	95
3	38
0	99
2	89
0	24
7	38
1	98
0	9
0	11
0	4
4	15
0	7
1	112
0	4
3	18
1	16
0	91
0	108
180	35
333	63
0	0
0	97
2	56
4	0
0	859
1	371
0	467
139	1281
0	1
0	0
0	0
3	18
134	18
0	0
0	0
1	0
6	1
7	0
1	54
0	58
1	11
0	50
0	62
0	56
2	58
0	61
0	57
0	55
0	60
0	0
30	71
46	81
6	1
1	0
13	22
0	22
27	1
3	0
6	64
1	73
0	19
0	7
0	14
9	14
0	1
2	2
11	0
184	2
3	4
0	70
1	81
0	99
42	60
470	471
70	376
28	10
419	126
0	60
19	0
0	0
1	0
3	0
1	0
5	0
0	10
0	181
2	730
0	6
12	11
12	573
0	732
1	24
0	108
0	96
3	95
0	11
7	7
3	0
0	0
3	6
0	6
3	64
0	5
0	6
8	69
0	0
46	0
52	0
5	0
3	0
2	0
113	6
0	0
5	39
1	39
0	16
0	46
29	46
0	0
0	15
2	27
4	0
0	15
0	21
6	0
0	0
2	160
3	160
0	13
339	48
146	163
0	62
0	65
4	68
0	68
4	163
14	4
1	1
0	36
0	23
17	39
0	3
2	3
0	5
0	8
2039	346
19	350
17	0
50	0
11	6
7	6
0	52
2	66
0	33
6	90
8	44
4	4
4	49
11	148
0	139
0	54
7	0
0	33
0	36
29	16
0	7
0	41
0	20
0	50
0	17
0	46
0	0
0	20
57	30
0	5
0	3
27	4
0	0
0	0
56	62
4	62
18	62
8	62
12	35
35	35
16	1
0	26
4	27
6	0
10	3
5	0
0	4
4	99
0	1
0	0
0	0
1	28
4	4
0	5
0	99
0	4
0	26
0	19
2	9
0	23
0	0
3	275
0	219
1	321
0	0
6	0
0	70
3	180
0	199
1	306
0	17
21	3
4	27
463	34
0	187
0	184
7	187
0	183
5	180
1	184
1	26
2	26
0	16
2	28
0	28
0	10
1	17
52	4
0	14
0	14
0	0
3238	3278
154	2495
608	1168
153	433
17	1157
9	1783
0	526
0	568
32	64
0	259
0	559
0	104
25	635
0	0
0	351
0	1
6	538
22	530
0	181
5	0
4	396
419	6
99	0
0	0
226	0
3	0
0	0
23	9
12	0
15	12
0	4
9	1
9	0
0	4
8	0
1	2
0	0
11	6
2	0
0	1
0	0
104	0
3	0
0	0
0	0
0	23
11	13
0	0
13	36
10	4
12	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
13	0
3	12
0	19
0	3
0	10
0	0
0	3
0	2
0	0
1	0
29	2
0	7
0	20
7	124
0	20
26	20
0	108
0	31
0	124
0	171
0	1
0	1
0	171
0	157
1	3
3	168
0	1
0	1
0	0
33	65
0	13
0	99
4	79
7	0
0	0
0	0
5	61
12	5
0	203
38	263
0	4
7	0
1	64
813	64
324	98553
49	68116
0	17133
23	88116
753	86861
35	4534
0	70
0	17
0	14
0	16
0	2
4	73
0	3
13	6
0	4
27	12
4819	17
0	2
30	3
19	3
52	0
1	54
1	49
0	36
5	36
0	36
35	21
0	68
0	68
15	8
0	22
1	62
1	95
0	91
19	77
5	0
0	2
36	639
0	4
10	11
7	21
0	75
5	75
14	3
128	327
0	1051
58	95
0	0
0	12
2	92
0	2
5	127
6	3
0	71
13	220
0	1366
24	182
0	77
4	43
3	43
55	3
313	241
5	0
6	1
50	5
0	1
0	2
5	3
1	0
0	0
4	0
0	0
1	60
0	11
0	60
0	0
0	0
0	0
0	0
6	1
0	0
0	0
0	0
73	0
41	0
2	221
0	212
