UniqueCount	AmbigCount
0	0
5	0
3	46
1	1
0	46
0	0
7	4
0	2
0	5
0	2
3	3
0	0
2	0
6	0
13	69
9	0
0	69
2	133
0	125
0	43
0	10
0	167
0	1
0	105
0	107
0	25
0	122
0	0
0	0
0	6
60	3
0	3
6	0
1	0
0	0
1	0
0	22
3	22
0	11
0	7
0	2
0	22
0	0
1	0
8	0
1	1
0	0
3	177
8	0
0	92
1	110
0	187
2	37
1	2
27	39
1	0
0	0
0	2
0	0
1	0
0	0
47	141
29	78
0	52
1	0
0	78
0	21
0	23
0	116
38	81
34	84
5	0
0	0
0	55
0	44
9	45
19	0
0	0
0	18
52	20
0	20
0	0
2	20
0	0
45	3
2	3
6	0
32	2
0	0
17	2
0	0
158	538
24	538
17	538
127	72
7	72
0	29
0	13
27	75
45	74
0	43
2	75
0	43
0	75
0	204
53	290
0	290
1	0
0	0
0	153
0	30
12	37
0	0
0	157
76	993
0	993
6	0
0	9
0	9
0	0
0	0
10	9
0	1
0	1
5	0
49	170
0	170
0	0
0	162
0	162
0	9
22	71
21	71
0	4
0	1
0	124
0	77
0	58
0	175
3	11
0	1
0	160
2	184
0	259
0	77
0	112
0	274
0	49
0	105
0	0
0	0
0	0
0	3
0	3
0	1
0	1
0	1
11	8
0	0
2	8
20	8
0	1
0	8
0	1
0	1
4	9
0	4
0	9
0	0
0	0
0	0
0	0
3	0
1	3
102	352
1	200
9	365
0	34
6	101
1	42
0	113
0	7
389	439
1	0
0	3
0	3
3	29
31	28
503	44
18	55
2	0
0	0
72	55
23	148
162	152
1	6
0	4
0	5
0	4
0	27
0	27
0	5
0	4
0	0
28	0
6	6
0	3
0	3
0	0
4	4
0	3
0	7
0	46
0	69
0	7
0	45
0	44
0	23
36	25
0	3
0	44
0	25
0	25
10	7
64	0
1	0
3	0
0	0
0	4
0	4
0	8
0	5
0	8
2	0
5	5
0	30
0	374
0	7
0	353
0	28
0	345
0	3
0	352
0	4
0	337
0	0
0	0
0	25
3	12
0	0
0	13
0	0
61	0
0	0
5	20
0	1
0	53
1	4
8	53
4	3
5	14
0	56
10	18
24	56
5	4
0	0
5	0
15	144
1	144
0	121
0	121
7	152
24	152
4	0
2	0
0	0
0	0
0	3
0	2
0	4
0	0
36	1
8	27
0	100
0	75
10	110
4	46
0	0
0	120
2	132
14	0
0	66
11	114
0	140
0	137
1	0
6	4
0	4
2	0
0	0
0	14
6	5
0	6
0	13
0	4
0	5
0	5
0	3
0	10
17	4
78	4
1	69
3	191
10	39
0	114
46	197
0	178
65	170
0	0
0	0
5	17
10	18
6	97
0	9
0	140
23	4
0	2
45	66
27	62
0	39
4	9
0	0
0	0
0	1
6	1
0	0
1	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
7	0
0	0
0	10
0	14
1	13
0	1
0	2854
112	2686
1	17
8	1192
1	1619
0	16
0	3
0	17
0	7
2	7
0	4
