From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Ontology (biological process)	Gene Ontology IDs	Keywords	Gene Ontology (cellular component)	Gene Ontology (molecular function)
E1JIT7	E1JIT7	reviewed	PSD_DROME	PH and SEC7 domain-containing protein (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for Arf 6)	Efa6 CG18185 CG6941 dPsd CG31158	Drosophila melanogaster (Fruit fly)	axoneme assembly [GO:0035082]; compound eye morphogenesis [GO:0001745]; negative regulation of microtubule polymerization [GO:0031115]; positive regulation of ARF protein signal transduction [GO:0032014]; response to alcohol [GO:0097305]	GO:0000139; GO:0001745; GO:0005085; GO:0005543; GO:0005886; GO:0005938; GO:0008017; GO:0030424; GO:0031115; GO:0032014; GO:0035082; GO:0044297; GO:0097305	Alternative splicing;Cell membrane;Cell projection;Cytoplasm;Guanine-nucleotide releasing factor;Membrane;Reference proteome	axon [GO:0030424]; cell body [GO:0044297]; cell cortex [GO:0005938]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]	guanyl-nucleotide exchange factor activity [GO:0005085]; microtubule binding [GO:0008017]; phospholipid binding [GO:0005543]
A0A173GP47	A0A173GP47	reviewed	LST_PHOPY	Luciferin sulfotransferase (EC 2.8.2.-)	LST	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)		GO:0008146	Transferase		sulfotransferase activity [GO:0008146]
P07814	P07814	reviewed	SYEP_HUMAN	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)	cellular response to insulin stimulus [GO:0032869]; cellular response to type II interferon [GO:0071346]; glutamyl-tRNA aminoacylation [GO:0006424]; negative regulation of translation [GO:0017148]; prolyl-tRNA aminoacylation [GO:0006433]; protein-containing complex assembly [GO:0065003]; regulation of long-chain fatty acid import into cell [GO:0140212]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0004818; GO:0004827; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006418; GO:0006424; GO:0006433; GO:0008270; GO:0016020; GO:0017101; GO:0017148; GO:0032869; GO:0035613; GO:0042802; GO:0042803; GO:0051020; GO:0065003; GO:0071346; GO:0097452; GO:0140212; GO:1990904	3D-structure;Acetylation;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Disease variant;Leukodystrophy;Ligase;Membrane;Metal-binding;Methylation;Multifunctional enzyme;Neurodegeneration;Nucleotide-binding;Phosphoprotein;Protein biosynthesis;Reference proteome;Repeat;RNA-binding;Translation regulation;Zinc	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; GAIT complex [GO:0097452]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; proline-tRNA ligase activity [GO:0004827]; protein homodimerization activity [GO:0042803]; RNA stem-loop binding [GO:0035613]; zinc ion binding [GO:0008270]
D3YXG0	D3YXG0	reviewed	HMCN1_MOUSE	Hemicentin-1 (Fibulin-6) (FIBL-6)	Hmcn1	Mus musculus (Mouse)	actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]	GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711	Alternative splicing;Basement membrane;Calcium;Cell cycle;Cell division;Cell junction;Cytoplasm;Disulfide bond;EGF-like domain;Extracellular matrix;Glycoprotein;Reference proteome;Repeat;Secreted;Signal	adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927]	calcium ion binding [GO:0005509]
Q99LH1	Q99LH1	reviewed	NOG2_MOUSE	Nucleolar GTP-binding protein 2	Gnl2	Mus musculus (Mouse)	ribosome biogenesis [GO:0042254]	GO:0005525; GO:0005730; GO:0042254	Acetylation;GTP-binding;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Ribosome biogenesis	nucleolus [GO:0005730]	GTP binding [GO:0005525]
Q86IC8	Q86IC8	reviewed	CAMT2_DICDI	Probable caffeoyl-CoA O-methyltransferase 2 (EC 2.1.1.104) (O-methyltransferase 6)	omt6 DDB_G0275501	Dictyostelium discoideum (Social amoeba)	methylation [GO:0032259]; response to bacterium [GO:0009617]	GO:0008757; GO:0009617; GO:0032259; GO:0042409; GO:0045335; GO:0046872	Metal-binding;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase	phagocytic vesicle [GO:0045335]	caffeoyl-CoA O-methyltransferase activity [GO:0042409]; metal ion binding [GO:0046872]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
Q8UWA5	Q8UWA5	reviewed	CAH2_PSEHK	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	ca2	Pseudaspius hakonensis (Big-scaled redfin) (Tribolodon hakonensis)		GO:0004089; GO:0005737; GO:0005886; GO:0008270	Cytoplasm;Lyase;Metal-binding;Zinc	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]
P81576	P81576	reviewed	CUPA2_CANPG	Cuticle protein AM1159 (CPAM1159)		Cancer pagurus (Rock crab)		GO:0042302	Cuticle;Direct protein sequencing		structural constituent of cuticle [GO:0042302]
P73689	P73689	reviewed	SPPA_SYNY3	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV homolog) (Signal peptide peptidase)	sppA sll1703	Synechocystis sp. (strain PCC 6803 / Kazusa)	signal peptide processing [GO:0006465]	GO:0005886; GO:0006465; GO:0008236	Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Transmembrane;Transmembrane helix	plasma membrane [GO:0005886]	serine-type peptidase activity [GO:0008236]
Q7ZVZ6	Q7ZVZ6	reviewed	PREP_DANRE	Presequence protease, mitochondrial (EC 3.4.24.-) (Pitrilysin metalloproteinase 1)	pitrm1 zgc:55469	Danio rerio (Zebrafish) (Brachydanio rerio)	protein processing [GO:0016485]; proteolysis [GO:0006508]	GO:0004222; GO:0005759; GO:0006508; GO:0016485; GO:0046872	Disulfide bond;Hydrolase;Metal-binding;Metalloprotease;Mitochondrion;Protease;Reference proteome;Transit peptide;Zinc	mitochondrial matrix [GO:0005759]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
