#
# Output is generated by GenSAS 7.x-5.0
#
#Name     : The name of mRNA
#Start    : Start of alignment in subject
#End      : End of alignment in subject
#Match_Start  : Start of alignment in query
#Match_End    : End of alignment in query
#Score        : Row score of the match
#E-value      : E value of the match
#Identity     : Percentage of identical matches
#AL           : Alignment length
Name	Start	End	Score	Accession	Match_ID	Match_Start	Match_End	E-value	Identity	AL
M_mag.00g000010.m01	284	367	225	Q7Z429	sp|Q7Z429|LFG1_HUMAN	3	87	3.26e-22	50.588	85
M_mag.00g000240.m01	1603	1846	745	P10180	sp|P10180|CUT_DROME	102	337	1.01e-84	61.905	252
M_mag.00g000270.m01	81	389	319	Q9VCW3	sp|Q9VCW3|NU133_DROME	1	298	1.66e-31	31.949	313
M_mag.00g000280.m01	1	74	303	Q6P7G6	sp|Q6P7G6|BRK1A_XENLA	1	74	5.86e-37	74.324	74
M_mag.00g000290.m01	485	667	326	Q8R0G9	sp|Q8R0G9|NU133_MOUSE	1	180	4.78e-34	38.587	184
M_mag.00g000360.m01	12	375	703	Q566Y1	sp|Q566Y1|ELP4_DANRE	2	349	9.27e-89	44.384	365
M_mag.00g000370.m01	55	114	237	Q9VEX0	sp|Q9VEX0|SULF1_DROME	190	249	2.97e-21	66.667	60
M_mag.00g000390.m01	211	255	142	Q9VEX0	sp|Q9VEX0|SULF1_DROME	1	43	1.65e-11	57.778	45
M_mag.00g000400.m01	304	466	422	Q8K007	sp|Q8K007|SULF1_MOUSE	5	176	7.28e-47	46.067	178
M_mag.00g000760.m01	253	506	697	Q8TF32	sp|Q8TF32|ZN431_HUMAN	31	284	7.16e-87	53.150	254
M_mag.00g000770.m01	440	638	224	Q9NBX4	sp|Q9NBX4|RTXE_DROME	30	224	7.34e-20	30.500	200
M_mag.00g000780.m01	648	772	187	Q761V0	sp|Q761V0|SC6A5_MOUSE	2	125	1.22e-15	34.375	128
M_mag.00g000800.m01	489	622	296	P20825	sp|P20825|POL2_DROME	150	287	1.12e-28	45.652	138
M_mag.00g000810.m01	303	401	220	B3NV41	sp|B3NV41|NAAT1_DROER	14	112	6.11e-20	49.495	99
M_mag.00g000930.m01	363	606	455	P20825	sp|P20825|POL2_DROME	14	262	5.93e-50	38.554	249
M_mag.00g000940.m01	778	1029	305	P23074	sp|P23074|POL_SFV1	455	711	8.21e-27	30.116	259
M_mag.00g000960.m01	668	719	172	P18652	sp|P18652|KS6AA_CHICK	1	52	1.79e-15	59.615	52
M_mag.00g001060.m01	437	494	248	P18074	sp|P18074|ERCC2_HUMAN	7	64	1.85e-25	70.690	58
M_mag.00g001100.m01	19	138	251	Q98993	sp|Q98993|VTXB_SYNVE	1	120	4.64e-21	45.455	121
M_mag.00g001150.m01	539	653	160	Q95SX7	sp|Q95SX7|RTBS_DROME	5	120	1.14e-12	36.207	116
M_mag.00g001170.m01	10	766	840	Q75WE7	sp|Q75WE7|VWA5A_RAT	25	764	6.18e-99	31.282	780
M_mag.00g001340.m01	2	58	155	Q2V2M9	sp|Q2V2M9|FHOD3_HUMAN	6	63	4.01e-12	50.000	58
M_mag.00g001360.m01	146	379	687	Q9ULU4	sp|Q9ULU4|PKCB1_HUMAN	1	235	3.05e-72	45.957	235
M_mag.00g001370.m01	45	193	294	Q5R9Y3	sp|Q5R9Y3|ABT1_PONAB	25	166	1.47e-30	39.597	149
M_mag.00g001380.m01	933	1096	419	Q9NIV1	sp|Q9NIV1|E2AK3_DROME	1	167	2.57e-46	52.976	168
M_mag.00g001390.m01	24	510	1297	P48444	sp|P48444|COPD_HUMAN	1	476	5.46e-175	51.822	494
M_mag.00g001400.m01	1	1230	3741	Q86VP6	sp|Q86VP6|CAND1_HUMAN	1	1159	0.0	61.619	1235
M_mag.00g001440.m01	9	396	1610	O46036	sp|O46036|CTBP_DROME	49	429	0.0	78.894	398
M_mag.00g001460.m01	32	88	160	Q96J01	sp|Q96J01|THOC3_HUMAN	3	59	1.12e-13	43.860	57
M_mag.00g001470.m01	239	339	201	Q9BY84	sp|Q9BY84|DUS16_HUMAN	74	169	7.43e-15	44.118	102
M_mag.00g001490.m01	416	452	171	B0W429	sp|B0W429|FICD_CULQU	3	39	8.51e-14	78.378	37
M_mag.00g001500.m01	213	317	340	B3MK83	sp|B3MK83|FICD_DROAN	6	103	1.16e-37	64.151	106
M_mag.00g001510.m01	76	203	237	Q17A75	sp|Q17A75|FICD_AEDAE	43	164	1.82e-22	42.748	131
M_mag.00g001560.m01	281	406	160	O22719	sp|O22719|LHTL3_ARATH	2	124	7.42e-12	32.540	126
M_mag.00g001590.m01	109	324	1036	Q24368	sp|Q24368|ISWI_DROME	17	232	1.14e-132	83.333	216
M_mag.00g001600.m01	392	963	2327	Q24368	sp|Q24368|ISWI_DROME	1	567	0.0	79.545	572
M_mag.00g001690.m01	923	992	177	Q1EG27	sp|Q1EG27|MYO3B_MOUSE	3	72	9.72e-16	41.429	70
M_mag.00g001830.m01	181	236	240	P02550	sp|P02550|TBA1A_PIG	1	56	1.06e-24	76.786	56
M_mag.00g001840.m01	175	224	138	Q5FW12	sp|Q5FW12|TIPRL_XENTR	1	50	6.61e-11	46.000	50
M_mag.00g001860.m01	11	94	171	Q8BH58	sp|Q8BH58|TIPRL_MOUSE	17	117	1.55e-14	34.653	101
M_mag.00g001910.m01	98	248	249	P81623	sp|P81623|ERP29_BOVIN	3	153	2.24e-25	32.680	153
M_mag.00g001930.m01	1	970	3937	Q5F3X4	sp|Q5F3X4|U5S1_CHICK	1	974	0.0	75.257	974
M_mag.00g001940.m01	400	945	1062	Q8N3P4	sp|Q8N3P4|VPS8_HUMAN	3	483	6.00e-130	39.854	547
M_mag.00g002000.m01	2	127	420	Q7KRI2	sp|Q7KRI2|LOLAL_DROME	1	126	3.96e-53	55.556	126
M_mag.00g002010.m01	272	335	233	Q561R2	sp|Q561R2|ADAT3_RAT	310	374	2.31e-20	60.000	65
M_mag.00g002030.m01	175	444	1122	O75351	sp|O75351|VPS4B_HUMAN	3	272	9.40e-153	80.370	270
M_mag.00g002040.m01	664	800	177	A1ZA92	sp|A1ZA92|NOL9_DROME	1	140	6.51e-13	30.769	143
M_mag.00g002060.m01	151	332	373	Q9JI19	sp|Q9JI19|FIBP_MOUSE	1	185	2.03e-42	43.085	188
M_mag.00g002080.m01	166	503	598	O75373	sp|O75373|ZN737_HUMAN	31	404	1.67e-68	38.298	376
M_mag.00g002140.m01	30	121	220	Q9D8P7	sp|Q9D8P7|TF3C6_MOUSE	25	121	4.18e-21	47.423	97
M_mag.00g002160.m01	208	322	287	Q7TSS2	sp|Q7TSS2|UB2Q1_MOUSE	2	129	1.02e-29	50.000	136
M_mag.00g002190.m01	1	262	999	Q9JKU3	sp|Q9JKU3|IF172_RAT	1	262	3.17e-123	67.176	262
M_mag.00g002220.m01	1	350	1153	Q6DDT1	sp|Q6DDT1|INO1B_XENLA	1	353	1.21e-151	66.289	353
M_mag.00g002230.m01	351	519	646	Q7ZXY0	sp|Q7ZXY0|INO1A_XENLA	7	174	4.32e-81	70.414	169
M_mag.00g002380.m01	460	554	185	Q6DFF4	sp|Q6DFF4|INT9_XENLA	1	95	1.98e-16	41.053	95
M_mag.00g002390.m01	68	203	417	Q8K114	sp|Q8K114|INT9_MOUSE	1	134	1.47e-47	57.353	136
M_mag.00g002400.m01	25	65	125	Q6DFF4	sp|Q6DFF4|INT9_XENLA	1	41	3.22e-09	58.537	41
M_mag.00g002440.m01	2174	2273	150	Q80TN7	sp|Q80TN7|NAV3_MOUSE	5	105	1.63e-11	37.624	101
M_mag.00g002450.m01	8	302	416	Q7VMY2	sp|Q7VMY2|DDL_HAEDU	21	313	1.52e-47	37.458	299
M_mag.00g002640.m01	6	350	696	Q08DE2	sp|Q08DE2|T185B_BOVIN	1	342	1.80e-88	47.688	346
M_mag.00g002650.m01	41	76	122	Q99LT0	sp|Q99LT0|DPY30_MOUSE	25	60	1.89e-09	66.667	36
M_mag.00g002660.m01	630	840	169	P21328	sp|P21328|RTJK_DROME	2	203	1.20e-11	24.413	213
M_mag.00g002790.m01	192	300	392	Q96MY1	sp|Q96MY1|NOL4L_HUMAN	1	113	1.04e-45	71.053	114
M_mag.00g002890.m01	3	74	190	O94818	sp|O94818|NOL4_HUMAN	52	122	4.38e-16	50.000	72
M_mag.00g002900.m01	29	379	369	Q7T3C7	sp|Q7T3C7|RT4I1_DANRE	32	377	3.65e-39	34.366	355
M_mag.00g002910.m01	71	255	161	Q8BTK5	sp|Q8BTK5|SMYD4_MOUSE	35	232	1.67e-11	29.146	199
M_mag.00g002940.m01	2453	2536	136	Q9VCA8	sp|Q9VCA8|ANKHM_DROME	1	85	4.09e-09	45.882	85
M_mag.00g002960.m01	223	524	508	P20825	sp|P20825|POL2_DROME	682	977	2.58e-51	37.294	303
M_mag.00g002970.m01	104	275	390	Q8N5J2	sp|Q8N5J2|MINY1_HUMAN	40	212	3.39e-43	44.253	174
M_mag.00g003240.m01	86	138	228	Q6IZ48	sp|Q6IZ48|SOX8_TETNG	2	54	4.89e-23	75.472	53
M_mag.00g003430.m01	1	765	2120	P32198	sp|P32198|CPT1A_RAT	1	769	0.0	52.129	775
M_mag.00g003470.m01	68	122	204	Q5XPT3	sp|Q5XPT3|LARG2_MOUSE	1	55	1.17e-19	65.455	55
M_mag.00g003490.m01	438	497	193	Q66PG2	sp|Q66PG2|LARG1_DANRE	1	60	4.43e-18	61.667	60
M_mag.00g003500.m01	547	590	147	Q66PG2	sp|Q66PG2|LARG1_DANRE	1	44	4.17e-12	61.364	44
M_mag.00g003550.m01	462	574	201	Q9VFB7	sp|Q9VFB7|TPC10_DROME	30	142	7.10e-18	42.478	113
M_mag.00g003650.m01	246	524	227	Q9W0R5	sp|Q9W0R5|MTH10_DROME	134	415	8.50e-19	24.742	291
