#
# Output is generated by GenSAS 7.x-5.0
#
#Name     : The name of mRNA
#Start    : Start of alignment in subject
#End      : End of alignment in subject
#Match_Start  : Start of alignment in query
#Match_End    : End of alignment in query
#Score        : Row score of the match
#E-value      : E value of the match
#Identity     : Percentage of identical matches
#AL           : Alignment length
Name	Start	End	Score	Accession	Match_ID	Match_Start	Match_End	E-value	Identity	AL
M_mag.00g000010.m01	143	232	345	XP_042871652.1	XP_042871652.1	1	90	8.98e-40	74.444	90
M_mag.00g000050.m01	350	744	749	XP_042867499.1	XP_042867499.1	128	518	5.35e-88	51.128	399
M_mag.00g000100.m01	212	298	414	XP_042214156.1	XP_042214156.1	1	87	3.14e-46	94.253	87
M_mag.00g000200.m01	62	122	233	XP_011501847.1	XP_011501847.1	121	181	1.45e-22	96.721	61
M_mag.00g000240.m01	849	1349	1544	XP_042214156.1	XP_042214156.1	35	543	0.0	77.843	510
M_mag.00g000260.m01	351	438	327	XP_042213972.1	XP_042213972.1	32	121	3.23e-34	71.111	90
M_mag.00g000270.m01	73	369	1165	XP_042214091.1	XP_042214091.1	1	298	3.45e-149	84.228	298
M_mag.00g000280.m01	1	75	375	XP_042214101.1	XP_042214101.1	1	75	1.12e-46	96.000	75
M_mag.00g000290.m01	482	658	576	XP_042214091.1	XP_042214091.1	1	180	1.46e-66	63.333	180
M_mag.00g000300.m01	1023	1141	279	XP_042873921.1	XP_042873921.1	1	119	1.97e-27	62.185	119
M_mag.00g000310.m01	5	55	210	XP_042214150.1	XP_042214150.1	4	54	3.25e-19	80.392	51
M_mag.00g000350.m01	348	406	237	XP_042214061.1	XP_042214061.1	22	80	3.16e-22	72.881	59
M_mag.00g000360.m01	1	360	1235	XP_027215734.1	XP_027215734.1	1	357	2.99e-168	67.222	360
M_mag.00g000370.m01	302	362	304	XP_042214110.1	XP_042214110.1	190	250	7.48e-29	86.885	61
M_mag.00g000390.m01	458	502	174	XP_042214110.1	XP_042214110.1	1	43	1.42e-14	73.333	45
M_mag.00g000400.m01	558	730	754	XP_042214110.1	XP_042214110.1	1	176	2.68e-90	76.705	176
M_mag.00g000450.m01	319	367	218	XP_042242148.1	XP_042242148.1	1	49	1.96e-20	83.673	49
M_mag.00g000470.m01	375	469	288	XP_042242148.1	XP_042242148.1	1	95	2.31e-29	58.947	95
M_mag.00g000480.m01	319	367	218	XP_042242148.1	XP_042242148.1	1	49	1.96e-20	83.673	49
M_mag.00g000760.m01	53	338	753	XP_042239445.1	XP_042239445.1	6	284	9.34e-97	51.748	286
M_mag.00g000770.m01	319	536	428	XP_039756626.1	XP_039756626.1	9	224	9.64e-46	40.000	220
M_mag.00g000780.m01	472	606	319	XP_042243501.1	XP_042243501.1	1	129	2.69e-32	46.667	135
M_mag.00g000790.m01	18	531	1089	XP_037804877.1	XP_037804877.1	100	627	2.57e-139	42.199	564
M_mag.00g000800.m01	897	1127	642	XP_042870472.1	XP_042870472.1	1	232	6.02e-74	52.542	236
M_mag.00g000810.m01	297	395	335	XP_037773517.1	XP_037773517.1	14	112	3.07e-34	63.636	99
M_mag.00g000920.m01	1	332	940	XP_042213939.1	XP_042213939.1	1	325	1.28e-115	59.412	340
M_mag.00g000930.m01	737	1014	984	XP_042236973.1	XP_042236973.1	1	270	5.24e-124	67.986	278
M_mag.00g000940.m01	328	985	1859	XP_037803566.1	XP_037803566.1	385	992	0.0	56.061	660
M_mag.00g000960.m01	194	245	243	XP_042214132.1	XP_042214132.1	1	52	8.34e-25	90.385	52
M_mag.00g001000.m01	31	1012	2337	XP_042213963.1	XP_042213963.1	21	999	0.0	46.006	989
M_mag.00g001030.m01	174	204	155	XP_042213964.1	XP_042213964.1	1	31	1.97e-12	100.000	31
M_mag.00g001060.m01	431	491	300	XP_042856290.1	XP_042856290.1	4	64	3.70e-31	90.164	61
M_mag.00g001100.m01	793	1062	991	XP_042224273.1	XP_042224273.1	342	607	1.28e-117	68.519	270
M_mag.00g001130.m01	312	403	259	XP_042862655.1	XP_042862655.1	24	114	2.47e-25	55.435	92
M_mag.00g001140.m01	192	441	257	XP_042857768.1	XP_042857768.1	28	283	1.07e-22	28.016	257
M_mag.00g001150.m01	9	126	322	XP_014783059.1	XP_014783059.1	1	118	4.21e-35	50.000	118
M_mag.00g001160.m01	1	102	261	XP_042857770.1	XP_042857770.1	81	181	1.36e-25	53.922	102
M_mag.00g001170.m01	9	745	1813	XP_037799736.1	XP_037799736.1	14	765	0.0	54.712	764
M_mag.00g001210.m01	4	111	177	XP_042228798.1	XP_042228798.1	5	109	1.19e-14	39.815	108
M_mag.00g001230.m01	3	675	912	XP_027226018.1	XP_027226018.1	223	866	1.64e-106	42.393	677
M_mag.00g001240.m01	114	252	347	XP_042240852.1	XP_042240852.1	15	164	2.24e-36	86.667	150
M_mag.00g001340.m01	1	64	302	XP_037786614.1	XP_037786614.1	1	64	1.14e-30	76.562	64
M_mag.00g001350.m01	3085	3270	490	XP_042220521.1	XP_042220521.1	822	1013	2.91e-47	55.779	199
M_mag.00g001360.m01	1293	1815	2263	XP_042220485.1	XP_042220485.1	1071	1594	0.0	83.932	529
M_mag.00g001370.m01	1	168	587	XP_042220445.1	XP_042220445.1	1	165	3.47e-73	72.619	168
M_mag.00g001380.m01	1004	1168	591	XP_042890004.1	XP_042890004.1	1	168	3.30e-68	68.452	168
M_mag.00g001390.m01	24	516	2061	XP_042214044.1	XP_042214044.1	1	477	0.0	81.947	493
M_mag.00g001400.m01	1	1230	5510	XP_042214082.1	XP_042214082.1	1	1159	0.0	90.732	1230
M_mag.00g001410.m01	190	321	190	XP_042214074.1	XP_042214074.1	123	242	3.35e-12	37.778	135
M_mag.00g001440.m01	1	411	2150	XP_042214052.1	XP_042214052.1	21	435	0.0	97.108	415
M_mag.00g001460.m01	3	61	310	XP_042214042.1	XP_042214042.1	4	62	4.07e-34	94.915	59
M_mag.00g001470.m01	751	920	390	XP_042885887.1	XP_042885887.1	497	667	1.60e-36	56.593	182
M_mag.00g001490.m01	412	455	233	XP_042220443.1	XP_042220443.1	1	44	8.31e-21	90.909	44
M_mag.00g001500.m01	205	315	453	XP_042220443.1	XP_042220443.1	1	103	4.61e-52	79.279	111
M_mag.00g001510.m01	107	238	496	XP_042878579.1	XP_042878579.1	27	156	3.57e-57	73.485	132
M_mag.00g001520.m01	462	503	152	XP_042203338.1	XP_042203338.1	1	42	1.41e-11	64.286	42
M_mag.00g001530.m01	2	60	171	XP_027224824.1	XP_027224824.1	367	439	7.71e-13	46.575	73
